cpu_percent,memory_percent,network_connections,process_count,shell_exec,sensitive_file_access,denied_egress,label,scenario
20.65,29.19,1,7,0,0,0,normal,baseline
21.16,26.95,1,5,0,0,0,normal,baseline
22.64,29.8,1,7,0,0,0,normal,baseline
21.1,28.86,3,5,0,0,0,normal,baseline
20.47,31.41,5,6,0,0,0,normal,baseline
16.2,19.0,3,16,0,1,0,anomaly,sensitive-file-read
19.77,29.21,4,4,0,0,0,normal,baseline
22.35,31.09,1,5,0,0,0,normal,baseline
22.7,32.96,2,4,0,0,0,normal,baseline
22.76,32.62,120,4,0,0,10,anomaly,network-scan
15.52,32.8,3,7,0,0,0,normal,baseline
18.91,26.24,2,7,0,0,0,normal,baseline
26.18,29.1,4,4,0,0,0,normal,baseline
78.0,21.57,5,22,1,0,0,anomaly,interactive-shell
26.42,28.37,3,5,0,0,0,normal,baseline
19.19,37.09,2,4,0,0,0,normal,baseline
19.8,36.32,4,6,0,0,0,normal,baseline
21.44,31.79,3,5,0,0,0,normal,baseline
21.38,33.95,120,6,0,0,10,anomaly,network-scan
18.82,32.08,5,4,0,0,0,normal,baseline
17.46,31.33,3,6,0,0,0,normal,baseline
28.72,25.31,3,6,0,0,0,normal,baseline
13.81,27.64,5,4,0,0,0,normal,baseline
27.26,31.74,3,5,0,0,0,normal,baseline
21.43,25.35,3,4,0,0,0,normal,baseline
23.31,28.35,4,6,0,0,0,normal,baseline
23.62,27.08,2,7,0,0,0,normal,baseline
78.0,40.84,5,22,1,0,0,anomaly,interactive-shell
16.46,27.73,120,4,0,0,10,anomaly,network-scan
14.42,30.4,2,7,0,0,0,normal,baseline
20.17,32.19,2,4,0,0,0,normal,baseline
21.9,30.01,5,4,0,0,0,normal,baseline
20.69,32.94,5,7,0,0,0,normal,baseline
21.1,31.65,4,6,0,0,0,normal,baseline
20.82,25.44,2,4,0,0,0,normal,baseline
20.27,32.58,5,4,0,0,0,normal,baseline
20.26,31.31,4,16,0,1,0,anomaly,sensitive-file-read
18.73,27.92,5,7,0,0,0,normal,baseline
18.91,28.98,2,6,0,0,0,normal,baseline
15.39,31.56,1,7,0,0,0,normal,baseline
22.84,25.56,2,7,0,0,0,normal,baseline
13.68,28.54,3,6,0,0,0,normal,baseline
17.54,33.35,5,5,0,0,0,normal,baseline
96.0,92.0,3,32,0,0,0,anomaly,resource-abuse
96.0,92.0,1,32,0,0,0,anomaly,resource-abuse
19.12,37.75,1,4,0,0,0,normal,baseline
25.0,25.59,2,4,0,0,0,normal,baseline
17.32,30.05,2,7,0,0,0,normal,baseline
21.05,37.8,1,4,0,0,0,normal,baseline
22.69,36.52,5,6,0,0,0,normal,baseline
22.14,30.97,5,4,0,0,0,normal,baseline
18.53,33.63,2,5,0,0,0,normal,baseline
20.27,30.91,1,7,0,0,0,normal,baseline
96.0,92.0,1,32,0,0,0,anomaly,resource-abuse
23.56,30.81,3,6,0,0,0,normal,baseline
18.4,25.72,3,5,0,0,0,normal,baseline
23.57,26.96,120,6,0,0,10,anomaly,network-scan
23.01,32.15,2,7,0,0,0,normal,baseline
20.38,28.74,3,4,0,0,0,normal,baseline
